album_id|song_num|term_str|n
0|1|a|6
0|1|about|1
0|1|accept|1
0|1|admit|1
0|1|afraid|2
0|1|all|3
0|1|already|1
0|1|alright|1
0|1|always|1
0|1|and|9
0|1|another|1
0|1|anything|2
0|1|appreciate|1
0|1|are|2
0|1|at|1
0|1|away|4
0|1|back|2
0|1|be|4
0|1|beautiful|2
0|1|best|1
0|1|bet|1
0|1|big|1
0|1|brought|1
0|1|but|1
0|1|by|2
0|1|can|6
0|1|cant|2
0|1|changed|1
0|1|city|1
0|1|could|1
0|1|crush|1
0|1|day|1
0|1|days|1
0|1|didnt|1
0|1|dizzying|1
0|1|doesnt|1
0|1|done|1
0|1|door|2
0|1|doors|2
0|1|every|1
0|1|everything|4
0|1|eyes|1
0|1|face|1
0|1|faith|1
0|1|favorite|2
0|1|feel|3
0|1|few|1
0|1|first|3
0|1|for|2
0|1|friends|3
0|1|friendship|1
0|1|from|7
0|1|gave|1
0|1|get|1
0|1|give|1
0|1|hand|1
0|1|hands|1
0|1|happening|1
0|1|have|1
0|1|he|1
0|1|head|2
0|1|help|2
0|1|here|3
0|1|hesitation|1
0|1|hey|4
0|1|hide|2
0|1|highway|1
0|1|home|1
0|1|hours|1
0|1|how|1
0|1|i|15
0|1|ill|4
0|1|im|3
0|1|in|5
0|1|influence|1
0|1|instead|1
0|1|interstellar|1
0|1|into|1
0|1|is|5
0|1|isnt|1
0|1|it|9
0|1|ive|1
0|1|journey|1
0|1|just|2
0|1|know|2
0|1|last|1
0|1|left|2
0|1|light|3
0|1|like|1
0|1|lonely|4
0|1|long|1
0|1|look|1
0|1|love|6
0|1|me|13
0|1|moment|2
0|1|more|1
0|1|much|1
0|1|must|1
0|1|my|7
0|1|mystery|1
0|1|nana|2
0|1|nanana|6
0|1|need|2
0|1|never|1
0|1|new|2
0|1|no|5
0|1|nothing|1
0|1|now|1
0|1|of|7
0|1|oh|5
0|1|okay|2
0|1|on|6
0|1|one|1
0|1|our|1
