term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
60s|0.0011607502724469698|0.0013499080939035084|-0.0019240310646834926|0.0037802765982040912|-0.013954552097596544|0.004873550996536218|-0.01060314759095222|0.006898071403653228|-0.0015015770371701184|0.004924709079648027
aah|-0.006225002985690377|0.0010437912608806423|-0.002062501085669615|-0.015782969630951278|-0.00739797567510192|0.005173783706759305|0.009828303773923713|-0.004203604732821636|-0.00872675904074228|-0.007665500791753897
aback|0.0007917537363033994|-0.02250776654393078|0.006452197641427772|0.01671368922334142|0.006291176905886597|0.016884170825746753|0.00680022637807573|0.0029150693100771508|-0.0048473709114545405|-0.007294629323510882
abilities|0.010435848883389859|-0.007346443650748144|0.010310384968848368|0.014581531961618627|-0.004165404367697911|-0.016953378919205078|-0.002228746801977849|-0.03823140612179719|-0.010687873739310343|0.018123801895045498
ability|-0.0012171059307453658|-0.008059569413830306|-0.001271755125333035|0.0031972095082028473|0.0015435192137739917|0.001551896802550995|0.0009250660492419105|-0.0033425033401062974|0.0037399545880631487|-0.0032403958880307983
aboard|0.0027373098920162597|-0.0037975801470626486|-0.001693242740711219|-0.0005479293908271718|-0.0014267355101938023|-0.00015930498636671647|-0.0030180677517412657|-8.532059577560924e-05|-0.0007841197726332107|0.0034622620606474877
absence|0.00460243497801327|0.010850529349048073|0.0023802423781575516|0.01598833307269118|0.013917700237498554|-0.011806960478916176|0.02385752146653676|-0.017031588887651373|0.011257898885204438|0.013479792903230519
absentee|0.005301229503209937|-0.004832750747148423|0.016498202137778334|0.00427215738086914|-0.006411006328064184|-0.02127031170152863|-0.007194956050310147|-0.014666277723315357|0.017599449869197627|0.01558941852953609
abundance|-0.0019786511189054806|0.0023272479408274482|-0.0013183540887503897|0.001001708870195711|0.000855174106241044|0.0003657311769889038|-0.0013016686540462397|0.002901746897936902|0.0007015690013308096|-0.0008861028286537426
abuse|0.00022778900428516852|-0.003409732422271272|-0.01437008205765486|-0.011454300151280766|-0.00449635241852539|-0.005223435542782345|-0.0031058987236672886|-0.006624186528894058|0.00831918196464612|0.008884015647869944
accelerating|0.004749713839017393|0.0172368587931383|-0.007404280948131364|0.03387033494728983|0.01172106537146389|0.013924646200233516|-0.014775342364335947|-0.002671184279148822|-0.010530966551365224|-0.0006523652490068588
acceptance|0.001092812972845636|-0.004547069432712103|-0.0016530161149026223|-0.0041810347135771975|0.0025618781754999376|-0.002155651393756907|-0.003498307558133129|0.003973312342621521|-6.129887859773059e-05|-0.0019277381523797599
accident|0.013067038621472033|0.011594673786234466|0.015204432661008405|-0.005175261811162207|0.02172980317887758|0.0021517958699149575|-0.03116418813835581|0.015831847169317792|0.004280531753390063|0.005965028264015317
accidents|-0.004484413880661304|-0.0002754173958055828|-0.0013404266879007976|0.001638959864460221|-0.0007723083327729058|-0.0002806203099825766|-0.0013229278664652275|0.0006728296937382888|0.0028847404922340246|-0.0010912458430947375
accumulation|0.00785305311808155|0.004261109036999694|-0.00795840029011724|0.0021673779096835766|-0.0002968933301834009|-0.006157095172435512|0.024231452164694328|0.008924595024219162|-0.008762250316435433|0.008742930728258658
ache|0.016781888457722768|0.009386018477269914|0.01765880284584026|-0.007897056520986129|0.011508896452224943|-0.0013597505374438046|0.008374049050217519|-0.0017177563388371675|0.01496140109500126|-0.017090163467697844
acid|0.01308187402356576|-0.0007189051123905957|-0.005060459131248307|-0.008389655778339514|0.0013803483708157288|-0.008346431175362032|-0.0019074906911443479|-0.004712752437278006|0.004392821316049941|0.016067899205461922
acolytes|-0.0005916753972617514|-0.009282327345446938|0.00030034322574923333|0.0015216839701698293|0.003937233257463084|-0.0030536974520745386|0.005795431810891927|-0.002063160273962958|0.007270765563211906|0.006119661088076517
act|0.01704247432992097|-0.03150389573382778|0.0504380329637355|0.011558652161262783|-0.02078445930241403|-0.05533456427496897|-0.022661834444973928|-0.03389712304171563|0.014142857574456255|0.02007579771368015
action|0.010226200569438959|0.003461624947313514|-0.0013185286665950424|0.006926996506641192|-0.0058306552770419|-0.014649194296229906|0.03010010193110549|0.013599322396592728|-0.018253007341023475|0.0055679355011577294
actions|-0.0030444733435763963|0.00012075109470460754|-0.002822603384975142|0.003959964349134315|0.0013330162923130967|-0.0009482875716226059|-0.0026240436255180466|0.004589824223546521|-0.0017361192999786335|-0.00228150485445594
actor|0.004446356307762037|0.0007814295336209072|-0.020450679028274216|-0.0077095363925406835|0.020921015906825158|0.027150531524324256|-0.03265068210921712|-0.005934224902383489|0.005426576493819224|0.02084467584169125
actors|0.007242240510760511|0.0044334116679079685|3.209769906115101e-05|0.007904670266531355|-0.01996478134656321|-0.010642259278077382|-0.01635760059472413|-0.008177557894346293|0.0008105376338144038|-0.0019225689199260099
actress|0.000992892182923627|0.007142468307305862|0.005285273982603533|-0.005792487113229106|-0.0067124372207081895|-0.0050100173577445895|0.008927819573905149|-0.0016198033201197254|-0.004110034888014848|0.0046757535051627636
ad|-0.05012194292668787|0.03346182463164169|0.04470370563127226|0.04619928474525728|0.09082906212666958|-0.0761432003963434|-0.07443279390522779|0.14691965038196808|-0.03752562022879831|-0.05340194424658873
ada|-0.030865206665621706|0.015372096593394977|-0.02609943424846502|-0.011024980263083496|-0.05044975343584914|-0.019344555153788648|0.042940024031643736|-0.024046205285399313|-0.06899365285729216|-0.005686885362200151
adultery|-0.002568682747149666|-0.001882438952517286|0.0014892764606856564|-0.0022322752492560825|0.0003878000560893115|-0.005586479264965296|-0.00646675298763108|-0.0009392630372837404|0.004516947166176157|0.005802055750800251
adults|-0.0034294674072912934|0.0017080107325994351|-0.00289993713871832|-0.0012249978070092845|-0.005605528159538767|-0.0021493950170875793|0.00477111378129391|-0.0026718005872666765|-0.007665961428587946|-0.0006318761513555571
advantages|-0.01652586046470707|0.008499440572381169|0.00013327064898825921|-6.098052109906481e-05|-0.00281538823541505|0.008415696746198074|-0.0023270981350555493|-0.0037439658839133953|0.0050436235583388896|0.00021389860260137214
adventists|-0.007169137419904078|0.002790888796118476|-0.004578858437077889|-0.006219486343134821|0.0009503439230821005|-0.004764351727270674|-0.0016239529222127885|-0.02491938641734793|-0.01772164876777254|-0.028026253533963423
advice|-0.027282406288031028|0.026500238349655047|-0.053343784788638625|0.06467331232516646|0.05271025890868965|-0.003879131764518092|0.13763631494570983|-0.0637210877447306|0.13218694371341747|0.06102605441186991
aeroplane|0.008054633161158925|-0.00385020690474356|0.004057645745883737|-0.009003586966792466|-0.011351898060644343|0.011420363430225223|-0.018600059246863903|-0.010725652682078873|0.010249787063967068|0.032561873958199095
affairs|0.0018317269312747412|-0.0017765888722069822|0.007850332290531344|-0.007489343757746892|0.0009536559354972292|-0.010122369779399686|-0.0030625657362011952|-0.00062501562862745|-0.0013813311228319414|-0.0007525271187368383
affection|0.005569473506117293|0.0001594763877693489|-0.007752652908996553|0.018790863588897342|0.004282300253359229|-0.003634611209840745|0.01633501715703567|-0.023356537869101364|-0.01816916362973348|0.017399878375107185
affinity|-0.004344340309215692|0.00444908868553261|-0.0022214913482375247|0.0016903615134563291|0.0012761867952446448|0.0011268024499180333|-0.002341875989124588|0.004681173351602197|0.0014910883944627702|-0.0014856178113309443
afterglow|-0.005243410753143593|0.0004335547567170069|-0.0006704370566923744|0.0018576444483103319|-0.0025824535777989044|-0.0005897222263627632|-0.0021294322010689585|-0.002863464596704202|0.004588079667279521|-0.006218080524143348
afternoon|-0.08562599209811236|0.08031455593853629|-0.027049060675092405|-0.03486925907190918|0.02635722615702573|-0.035131791327770154|-0.023868808861585444|-0.029920557060840847|-0.029412016735200632|-0.17920609442996022
age|0.0945063621023913|-0.059408317321612635|-0.011312304988484975|-0.04838262500568061|0.006167636874801066|0.02615849504199773|-0.0370332761795651|0.0007713556922093138|-0.0024130915168904554|0.004790140705747347
ages|0.01612837377466455|-0.01245761004198267|0.007823006193870597|-0.021216400298718095|-0.006622261800993153|0.0036707781320491364|0.012485142108905018|0.01928837958949006|-0.01321638570376368|-0.0026556100586519497
ahahahah|0.03079602825352799|0.05315331630236912|-0.006638686589404067|0.00025261026856949207|-0.0426769653719837|-0.016324420977936918|0.04528976223812791|-0.0109804937750554|-0.037858264016110615|0.014001631532315373
ahooh|-0.007171930428881494|-0.005149231837408263|0.0055491765244378415|-0.01311746473430208|0.0035491844112382617|-0.015029027482959876|-0.018369853431152845|-0.03951777894055396|0.01862854710089398|0.017789879061124392
air|0.055374664933164126|0.0644293225004827|0.005705981089386071|-0.028234121396622035|-0.017543206572015014|0.009208211174327003|0.008465742610756192|0.0036885494121950153|-0.02239163194834717|0.009399973047979886
airheads|-0.0005126730853340027|-5.0078770200427305e-05|0.003889206483078356|0.010215305901651385|-0.02273103360968503|0.007856438487536976|-0.007266597433926345|0.008077990075327396|-0.0018482677519780493|0.009758998713420453
airwaves|0.02575307415200081|0.006122970324861682|-0.0019549954248826826|-0.020430379981966822|-0.00494434772373606|-0.017739497554304186|0.006412185890432969|-0.009626946516321701|0.0007249062867528524|0.0333901833254444
aisles|-0.0019786511189055084|0.0023272479408274873|-0.0013183540887504108|0.0010017088701956976|0.0008551741062410234|0.0003657311769889002|-0.0013016686540462548|0.0029017468979369203|0.000701569001330854|-0.000886102828653878
ajar|0.026602957816071783|0.031061115567498708|-0.04489616263104716|0.00689873470260074|0.0580599107392661|0.04727811723382565|0.006220551452069516|0.01899738361611873|0.028772594755071816|0.00576871222847611
al|-0.030009816909769966|-0.005043043254043351|-0.01943347298273223|0.0015856358233312586|-0.008801340035217143|0.00429373052734279|-0.007519831440476552|-0.015690176273165345|0.01704101718331666|-0.01086380643835942
alarm|0.00415462445726493|0.004152692883395832|0.001891696148137983|-0.003990114058494757|0.0019010901784631458|0.001022575204428301|-0.00771443377994292|-3.223752336185175e-05|0.004670257951547888|0.00042428494780385713
alarms|0.011980681145607417|-0.0652403909697687|0.013285251196869454|0.034696386064716346|0.016337344675110124|0.022876862762804033|0.016194427985920284|-0.02439288215223427|0.032980944443501616|-0.02523010936594422
alien|0.043470568003316314|0.07118125882391378|0.05838257657432831|-0.0058020128954286805|0.0009273300166313999|0.006758749219494906|0.024565844974497236|0.0017119107657640985|0.049508759642328606|-0.06521547559216694
alienation|-0.000749044660734501|-0.0018770307461648122|-0.0025125233046371384|-0.002688365880734073|0.0028893819694638034|-0.0015135159706931786|-0.004058751104112326|0.005813394285715845|0.0005413979054686974|-0.0023793201640436145
alleys|-0.012460287035925069|0.004015476643308658|-0.00427937963566447|-0.0019069319578927978|0.0007856153344737808|-0.003032839671280817|-0.0028881513932616553|-0.006948537508736844|0.0010336653990504867|-0.01710908847676145
alors|-0.0023670763969999347|-0.0010690572103787329|-0.00327019480808678|2.5125136262875956e-05|6.854369684873808e-05|0.00021630558508505595|0.001135177073631715|-0.0005067265225367542|-0.0006539267043446739|-0.001040460585522793
alright|0.044803064794421796|-0.06903785151191397|0.04306647660305289|0.008001915181712543|0.00013210240227235718|0.006343046924733349|0.05746203494723895|-0.0826879865514769|-0.0876609024734689|-0.04330638114813254
altar|-0.004012650007699238|-0.007156044994148863|-0.0017127730319787978|0.0017039313416821109|0.0032527346305089716|-0.003252113710100839|0.003741481439701809|-0.001652281150373956|0.008547206608044962|0.002899149376182218
altercation|0.007853053118081547|0.004261109036999621|-0.007958400290117225|0.002167377909683682|-0.0002968933301833302|-0.0061570951724355585|0.024231452164694155|0.008924595024219259|-0.008762250316435414|0.008742930728258597
alti|-0.010003272303256643|-0.001681014418014444|-0.0064778243275774|0.0005285452744437547|-0.002933780011739048|0.0014312435091142599|-0.0025066104801588487|-0.005230058757721779|0.005680339061105549|-0.0036212688127864653
ambitiousness|0.0010928129728456394|-0.004547069432712278|-0.0016530161149027212|-0.004181034713577114|0.0025618781754998088|-0.002155651393756937|-0.0034983075581327475|0.003973312342621307|-6.129887859767828e-05|-0.0019277381523798585
ancient|-0.009990851059250155|-0.0168854227338894|0.00953709270292348|-0.005490836406997782|0.008766302052024407|-0.0326675390672391|-0.010225424006256645|0.016707286130448307|-0.0007798535439189414|0.008126367064852695
android|-0.004868423722983099|-0.03223827765532128|-0.005087020501331959|0.012788838032811172|0.00617407685509643|0.0062075872102039095|0.0037002641969676757|-0.013370013360424985|0.014959818352252692|-0.012961583552123346
angel|0.061386949948464754|0.003582983850237346|0.01460300795625638|-0.10862916983184868|-0.047821241823322244|-0.04165956306239285|0.07378807220651706|0.06863946845622222|-0.06567557701485464|0.00024126084297263622
angels|-0.002645440710713183|-0.028626164912529867|-0.006245396285000801|0.007949208658221598|-0.026767714754716974|-0.02301139335327988|-0.001023719647953076|-0.056956822618785194|0.0060501824240671714|0.022295047489092643
angles|0.0029753399227906725|0.00819458552112219|-0.013074978479662587|0.0015873278752675543|0.00782089159756515|0.0011167840885179404|-0.0007656008181506167|0.02062987880808221|0.0024242592288972234|-0.0025989231600667046
animals|-0.004122180145819369|-0.0040675419478897615|-0.0032088513101165925|0.013768208511838425|-0.007689216855006207|0.0017709257252324496|0.008570781940762773|-0.003760879248535198|0.020272513389884377|0.007741684586180046
answer|0.037970887111673464|0.018920253869542537|0.09136007659118797|-0.03572342833729742|-0.04655579406678712|-0.064862270380241|0.03301072201797122|-0.032224229612550094|-0.01676637398995247|0.0659281613385033
answers|0.015128579290551156|0.015150820341083887|0.004310763173611213|0.0021800244027390166|-0.0011032005520921588|0.023372744603068485|0.008015819519071637|-0.0018219270894038212|-0.00902652940529082|0.009425941353586932
antichristening|0.008829384938693471|-0.022212104636876666|-0.0037713732624065624|-8.49559215441466e-06|-0.002023408174535717|0.014337645609928529|-0.003774613805643548|0.011208156169323039|-0.0008624962580838782|-0.00024461314843872884
ants|0.008902641223303281|-0.0009158618381568258|-0.003838681518472022|0.0038287347521342484|0.005953075859852105|0.0005613504209923802|0.0023617952907634236|0.004070263718056853|-0.000968053088476422|-0.002795173289019695
anybody|-0.009447185032690928|0.05183395261959519|0.02046955733049548|-0.0016012892590285266|-0.04331950513943742|0.0720597896458642|-0.0032755068744216194|0.010568880074558754|-0.05202187946306264|0.08150163719554043
anyone|0.0708489044101366|-0.06894358211833859|0.06091391756351441|0.0003680690217572292|-0.0008338355058906018|-0.03326238553485507|-0.006805579631243251|-0.021390426942176743|0.0022752234977044053|0.009212500569491779
anything|0.05955951263079507|-0.004110278105963756|-0.006705769005257817|0.028324079441928985|-0.020738348659469247|-0.028763169038390574|-0.05896231669700043|-0.13449311686115337|-0.018595131511265857|0.00938844056415463
aon|-0.04328988687987198|0.027599985646838365|-0.012147820710111105|0.031069558698967173|0.03737830551920232|0.004188585978090666|-0.04684778451831294|0.0767374614653171|-0.0065029771532569116|-0.06274221902743862
apartment|0.001339943106689777|-0.0025039405640265907|-0.017584200660409915|-0.004981443734015274|0.017319887621612837|0.016500220676866812|-0.027129373629734704|0.002396318569530183|0.002289174345798636|0.011209682454806035
apple|0.0704734952917231|0.04185869568336293|-0.019607769161679556|0.007984463160628593|0.032980384799933|-0.005328182144074101|0.011208297582891463|0.04893656787071721|-0.029308784059742053|-0.00039145771856493173
arguments|-0.0035412558138657995|0.0018213086940816797|2.855799621177074e-05|-1.3067254521227623e-05|-0.0006032974790175084|0.001803363588471018|-0.0004986638860833146|-0.0008022784036957511|0.001080776476786899|4.5835414843141105e-05
arisin|-0.0007690096280010073|-7.511815530063864e-05|0.005833809724617537|0.015322958852477087|-0.034096550414527554|0.011784657731305461|-0.010899896150889526|0.012116985112991113|-0.002772401627967068|0.014638498070130668
arm|0.02620654076105674|0.034163219933467597|-0.01577996612911254|-0.0015672697407552272|0.015710059013071594|0.009255488258978949|-0.02350930712176262|-0.022740994296394104|0.006202431336638238|0.028482458890183547
arms|0.017912915616649695|0.09544064824881816|-0.09188837873765383|0.10855642100949628|-0.056640157222705545|-0.009290360050778247|0.08829920103081758|0.103961083135652|-0.14652728351755626|0.09436041489867854
arrows|-0.0027608769671228417|0.016541064445540966|0.004564171451376607|-0.0030422789693335295|-0.018814759315308995|0.004268184336419892|0.023271669712011306|0.01106153296537507|-0.01420969271322691|-0.025915845351783227
art|0.006026413076442954|-0.017520433759714835|-0.014944004096646023|-0.035371700869230395|0.022246520623209046|0.008123210835939443|-0.004757260585130088|0.021993016186473723|0.017554126295105124|-0.02564069383454428
ashes|0.05918963676386798|0.027486721531773145|0.04816608527574167|-0.0009062394449421002|0.023604639347632468|-0.05012170483549146|0.0020765234695585|-0.00013732887811963683|0.05200595278594413|-0.008528781227200341
ashtray|0.01032493612809957|0.011016298399842344|0.0009597192793769777|-0.004551319960744749|-0.002298006410540056|-0.0037445217646288453|0.010876607375283637|0.004297209735349297|-0.010170952892626236|0.0047176645728668355
asleep|0.017910465769129583|0.006267155824417972|0.005813080060810418|-0.004655491569039167|-0.05387711474340117|0.005594117952776008|-0.021898321812254866|0.009244297302052765|-0.019704454907839543|-0.01737306426211867
ass|0.004539780228692869|-0.005554502150274315|-0.019680988176657442|-0.01743890529793125|-0.010066033750686538|-0.011718039102358736|0.024628466205458947|0.004103597166957413|-0.028010196838205624|0.005691636625053946
astronauts|-0.018354583628111064|0.022003511030414143|-0.02887590901137306|0.051164717688787595|-0.01967943691849862|-0.0005332193442571589|0.04802028786569678|-0.010162774480594834|-0.1315137355934537|0.05359251228593174
attention|0.008583281847772685|-0.003345880957745211|0.011124304793172914|0.01784483508428248|-0.012628100129702535|-0.012820845612441201|0.009233602957146241|-0.008310475993446028|0.014423408869156256|0.0024969241101501
attraction|-0.0033746415427340962|0.005169197014185874|-0.007964763461869001|-0.0016200443759714787|-0.003166351929660061|-0.010236215353184912|0.008389141108566707|0.004950432772689148|-0.028143300046931233|0.012924889422897629
avenue|-0.0036616543491257694|0.010365256380560645|0.002126283162417625|-0.015946882722371172|0.0039755108236460375|0.003979345662281643|-0.004975440339317281|-0.022331317269072903|-0.017037441243790467|-0.009709194612106144
awake|0.019936968689260853|-0.026469555622044203|0.01846815339540505|0.03163346899065847|-0.022832276297869096|0.014728403673837273|0.010395118638120423|-0.017270282309242196|-0.024273258065576907|-0.03472489046388525
awesome|-0.0038411473335626493|0.00393534420191062|0.006112173761369779|0.02304867187256942|-0.018328453435614043|-0.013902751966252482|0.013040884089619483|-0.008117901919145933|-0.04654125997346272|0.03149771633388303
axe|0.0004237067848776066|-0.0050117092982748124|0.0030963151767608105|-0.005211398157297052|-0.00028738944432738086|-0.008462543436435375|-0.005843577686055467|-0.003910002698583317|-0.0003232801891410452|-0.0019860934210126913
axes|0.00882938493869347|-0.022212104636876666|-0.0037713732624065637|-8.495592154414227e-06|-0.002023408174535714|0.014337645609928526|-0.003774613805643541|0.011208156169323044|-0.0008624962580838797|-0.0002446131484387243
axis|-0.01503810973072421|0.02029544989068063|-0.008152452147759755|0.01548903794128825|0.019357438967860637|-0.0026435756871705015|-0.021591253409655307|0.03879628312351572|-0.008313821500246066|-0.03308286878246435
babe|0.02240569812454168|-0.055620685667808284|-0.09654934297835051|-0.09873745233038951|-0.050907940375843515|-0.015629346275944075|-0.015452443604620803|0.024194359157968234|0.011097473260598597|-0.025956709448026777
babies|-0.008000769046554033|-0.0008836641383462029|-0.012694955819278465|-0.014051433897667128|-0.006178437242591977|0.0014138130794496672|0.010016470983178372|0.0023281898255616777|0.0036619554052808242|-0.004379166771829048
baby|0.08840199469814432|-0.01720628245374696|-0.11671865850526122|-0.09309140524069555|-0.04654998105841203|-0.07163259113883623|0.14017735134662868|-0.006600479954414868|-0.017457720499026354|0.036937843629201085
backbone|0.019115641186980642|-0.025044738902416295|0.017628566012663237|0.02620057447402615|-0.04589159912050919|0.008057151432312792|-0.012344826434246725|-0.0038388554849766777|-0.006117658255196124|-0.0024401653198717725
background|0.010889362356190048|-0.01911019600809626|0.01290296189649587|0.008601677161107626|0.005901398204015405|-0.00989487785639485|0.009185574529959366|-0.01169083993801363|0.012908904495726266|0.016103442119839516
backgrounds|0.002650614751604942|-0.0024163753735742186|0.008249101068889169|0.002136078690434527|-0.003205503164032098|-0.010635155850764293|-0.0035974780251550854|-0.0073331388616576475|0.00879972493459884|0.007794709264768015
backwards|-0.00041357744064582694|-0.061213728243721045|0.00462522543237521|0.03449078522276577|0.013088180698882857|0.030071340747099665|0.010786911824838085|-0.005758897287007786|0.0033842240850445503|-0.018192800668551626
backyard|-0.0111443128185835|-0.007199343752985921|-0.008487048871560673|0.006509905893107867|0.0146086491653976|-0.024164549109713756|-0.004577774640694143|0.004285449373564914|-0.013108524755171595|-0.01801082215984654
bag|0.0031458988927184723|-0.0019893808299552705|1.4104396285417268e-05|0.013339881132754075|-0.006745556583042118|-0.011672824631916242|0.0011476899507500346|-0.023976572477741147|0.011487975915510765|0.015451662688706463
bags|-0.0016208026055379915|-0.02148210451404891|0.01742415245911458|0.006078675473722693|0.009513481508836026|0.00810014592876382|0.010424029613114769|-0.0016398722326784582|-0.008618726003209596|-0.006640540399266361
bait|0.006270336153143399|-0.01206898172510219|-0.00017186154010443534|0.001235662118111535|0.006252870425475838|0.007401868864907755|0.006477274157874918|-0.0028115185566714275|0.01730975425583236|-0.01126816514007583
balance|0.005558082319815644|-0.004616861034322765|-0.013627803069681352|0.007798558166978488|0.005634428892955613|0.005929291234167508|0.0054428867122554864|-0.00023542249036461122|-0.0164978507909057|0.01270056434840434
ball|0.02968432012561744|-0.05431437933731586|0.06461015207567287|0.0015205897153355997|0.028080648477879853|0.04125031884824208|0.03184764056445205|-0.04190999123326949|-0.040033434221302316|-0.0568397836725561
balloon|0.0043052957496413|0.056677463773282456|-0.08353878086528264|0.08504454749987572|0.026099451463677016|0.0074422533852900735|0.09454571932995975|-0.005509162465249164|-0.14339323793438524|0.07487809454284869
bam|-0.11702825316997018|0.002871468885811404|-0.07371364049033151|0.0147922139536109|-0.021906555423403168|0.028202726379656373|-0.00011006803265526527|-0.012301483388206611|0.07143976681756051|-0.03346353450509423
bamchikabamchikaboomboomboom|-0.004734152793999875|-0.0021381144207574705|-0.006540389616173569|5.0250272525755545e-05|0.00013708739369747388|0.00043261117017011385|0.002270354147263433|-0.0010134530450735084|-0.0013078534086893524|-0.002080921171045588
