term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
60s|-0.004468429539581043|0.00408456585042454|0.015748853149871744|-0.010715921807635129|0.006750450477988266|0.020189274192081226|-0.00969596391565573|-0.01442711561205467|0.011097348572532984|0.0063880414251317515
absence|0.003977955829348213|-0.01624251916165799|0.004934828369325517|0.00942855803599238|0.005487671538305212|-0.018279197694194976|0.01066606462677673|-0.015459702485105253|-0.010364985839221005|-0.007887131132428948
abuse|-0.005012284326967681|0.04149069593718423|0.003579800311847736|0.007011300736409154|0.0017681908857194728|-0.003974776018308701|0.038036059094736924|0.010179868085783556|0.007895427410540251|-0.009991945933956123
accident|0.002289523637699631|-0.02014406315344744|0.005648739134469782|0.018312272008946417|8.63149340486341e-05|0.00037521429434705933|0.005626352289833027|0.013659573452700316|0.00956384963676113|-0.010888661281985627
ace|0.0014200012887170543|-0.0042796207772062556|0.0047809610700458305|-0.0005393978501007576|0.0027688193526043403|-0.0040733296330491275|-0.001524127301347336|0.004768592041385994|-0.004579994008477792|-0.0014102456948382192
act|-0.004577482601874738|-0.01123990422341499|0.02781452411883048|0.024889012766948854|0.010396872399155085|0.015621359335475149|0.05975822104388792|0.007787650468699198|0.001069646115256298|-0.00256962633138675
action|-0.015563586805435625|0.01648609948927864|0.00649139755077871|-0.010908767643978051|-0.008829079784512792|-0.01960048276729806|0.02512889362248176|0.007736927725954461|-0.018575989240059043|0.020161398572919424
aeroplane|-0.0029255372089185827|0.023571654959899935|0.013397364795365574|0.003168491759162291|0.010777179010210507|0.01494666991996943|-7.236896139882487e-05|-0.023156642123689758|0.0012861639585751983|0.026870862021870293
affection|-0.0015142659641644574|-0.007045664463852908|0.008328707100077382|0.002290346270563501|-0.003889243806696044|-0.01348847569765399|0.0027478833475656494|-0.00543220977477854|-0.004434492179498643|0.008312151114214326
afternoon|0.057033985134145516|-0.022999246300061338|-0.08724542311892736|-0.0012654237117119549|-0.008806611295802985|0.01590652988723701|-0.001379263841330594|0.045219005162450684|0.03767208283589178|-0.059635118642879126
age|-0.10642265675181883|0.02033973504652803|0.07375061047648367|0.016211914608338734|0.010351102635842699|0.04619292453188714|-0.06955379966005473|0.035363835984106445|0.04007933143746578|0.015793386184051197
ages|-0.020546743946776698|0.007615392859295078|-0.0010987575420710327|-0.006744650801955049|0.009069284552453039|0.008111927193659565|-0.014310289912232765|-0.004774874542411545|-0.012081874412908367|0.0013686003934948263
air|-0.040694258729509616|-0.023036265026197378|-0.010711716524822001|-0.06531674372762981|0.04270726393543642|0.0028284862543529188|-0.002909863081498598|0.04043642082165039|-0.011102272041641187|-0.0218800870030368
alarm|0.0033054587808468913|-0.00020912328692407334|0.0008916931779584525|0.0037786054042351913|0.01831966833805356|0.012703984147353076|0.008562671230143662|0.011655070301447357|0.004023169664231052|0.0017882741426760718
alarms|0.004640632004050916|0.011867528583745374|0.015520752972427082|0.000537633135921034|-0.03403165729381155|0.0019685314556807942|0.011046987099423422|0.03363125222051799|0.0002504906798840023|-0.06085718135179555
alien|0.012399662865582431|-0.03487708532863887|-0.005919766545861696|0.015603928587423321|0.029998699505424546|0.022674214817540034|-0.007511102981548834|-0.010769660932504643|-0.020935113998188874|-0.02927855993111947
alright|-0.055415633359800584|0.038094262534549214|0.024866368154005378|-0.022155663669941927|-0.009658456113400177|-0.006407704343701887|0.04246446880942159|0.02451761625316084|-0.06366584568537931|-0.02298766782248264
altar|-0.003712295822995589|0.009212760482334013|-0.005994618481466242|0.010072006070146966|-0.010994306439412106|-0.003865217907946361|0.011834011215264305|-0.008967569449058604|-0.008215362820629846|-0.004420196895841021
ancient|-0.014343273758357278|0.008023718195214021|0.0011042650636142043|0.005140879968830836|-0.004196312811582517|0.008032520793072484|0.023961896891172063|-0.01153850303279258|-0.002734082792053949|0.016686621983708804
angel|-0.09911024843167619|0.04999640116847526|-0.03550669577746535|-0.07904200644224277|0.06890851748349991|0.018916833266857613|-0.02726518358441407|-0.027689907296353983|-0.04069338825666679|0.019064511493267794
angels|0.004395884784223351|0.014190367622389038|0.010932315448245373|0.013602953735360607|-0.03359678143922609|0.00026495537114508416|0.03112210902651802|-0.02408870439084533|-0.015041488406859344|0.00934817548963865
anger|-0.010509575891504065|-0.0033375979308763477|-0.0036833193524027567|-0.003998837489431278|-0.0014705993156711172|-0.0019788740432420023|-0.0029860317679773485|-0.00397263783473906|-0.004656243910477531|0.004819046177792441
angle|-4.150299962946318e-05|-0.01785791199482003|-0.04198157430119029|0.00046538520531272387|-0.01125234576854156|-0.0035758471870544|0.003626591344498553|0.006265018923360205|0.02023143836499175|0.0016932805403716555
angles|-0.0032920202171923545|-0.010962665655806473|-0.004760410903591401|0.003659119210617283|0.00035568526222801156|-0.004562650404387594|-0.0022457273187528604|0.007311744497472461|0.010227425787879635|-0.005924852641281175
animal|-0.0037966567512329277|-0.006909355983223143|0.016165058560567755|0.01907618871726171|-0.03456336675791527|0.019396984159651492|0.016136259536147064|0.010830873673529529|-0.030342338753597223|-0.004758637019532885
animals|-0.0023943622676872297|0.00141950395329739|-0.008283580210695474|-0.01362053954983837|-0.006402089803457467|0.009655343283635542|0.0016249781468759411|-5.272447390472501e-05|0.00012446731606852168|-0.008379160002282893
answer|0.004155782360915413|0.0014335743485696926|-0.005924675938250369|-0.0038250633109484025|0.05064762061814432|0.020221589097831616|0.0590658377109827|0.009980924125586196|-0.043144404390899865|0.024262133651738835
answers|-0.006694251865284441|-0.00255363554462822|-0.00586598177463249|-0.004732470264169779|0.005087934293106333|0.0038593331315500273|0.0019725988146440665|0.027045246556436836|-0.010800514536428107|-0.006912338287527603
ants|-0.008295271572187155|-0.003664143728140971|-0.004235852005056823|-0.0010747910502234993|-0.0006670748053997366|0.0006764937500357421|-0.0014970824737856048|0.00292715291326745|0.0010300685374069751|-0.00423278683361461
anybody|0.040766263077488804|0.0017114960443464482|0.03466466538803438|-0.07282037595153225|0.015255888435176205|-0.007727327748402315|-0.019152806495931367|0.04353895823532059|-0.030642185914875837|0.026039179771531737
